crit1,crit2,crit3,crit4,crit5,crit6
1.0,1.0,1.0,1.0,1.0,0.9166666666666667
0.16666666666666669,0.6666666666666667,0.9166666666666667,0.8333333333333333,0.3333333333333333,0.5
0.8333333333333333,0.5833333333333333,0.75,0.9166666666666667,-0.5,0.75
0.75,0.5,0.8333333333333333,0.75,0.08333333333333331,0.6666666666666667
0.9166666666666667,0.9166666666666667,0.0,0.4166666666666667,-0.08333333333333331,0.5833333333333333
0.5,0.8333333333333333,0.6666666666666667,-0.4166666666666667,-1.0,0.8333333333333333
0.25,0.4166666666666667,-0.25,0.5833333333333333,-0.9166666666666667,1.0
0.6666666666666667,0.3333333333333333,0.16666666666666669,0.25,0.16666666666666669,-0.3333333333333333
0.5833333333333333,0.75,-0.3333333333333333,-0.5833333333333333,-0.8333333333333333,0.25
0.4166666666666667,0.25,0.2916666666666667,0.08333333333333331,0.6666666666666667,0.3333333333333333
0.3333333333333333,0.16666666666666669,0.08333333333333331,0.6666666666666667,-0.3333333333333333,0.0
-0.45833333333333337,0.0,0.2916666666666667,-0.08333333333333331,0.4166666666666667,-0.4166666666666667
0.0,0.08333333333333331,-0.08333333333333331,-0.25,-0.5833333333333333,0.16666666666666669
-0.8333333333333333,-0.2916666666666667,0.5,0.3333333333333333,-0.16666666666666669,-0.16666666666666669
-0.6666666666666667,-0.6666666666666667,0.4166666666666667,0.16666666666666669,0.5416666666666666,-0.75
-0.16666666666666669,-0.5,-0.16666666666666669,-0.5,0.0,-0.08333333333333331
0.08333333333333331,-0.5833333333333333,-0.5,-0.16666666666666669,0.25,-0.8333333333333333
-1.0,-0.08333333333333331,-0.4166666666666667,0.5,-0.6666666666666667,-0.25
-0.45833333333333337,-0.2916666666666667,-1.0,-0.3333333333333333,-0.75,0.4166666666666667
-0.5833333333333333,-0.75,-0.8333333333333333,-0.8333333333333333,0.5416666666666666,-0.5
-0.2916666666666667,-0.9166666666666667,-0.6666666666666667,0.0,0.75,-0.6666666666666667
-0.9166666666666667,-0.16666666666666669,-0.5833333333333333,-0.9166666666666667,-0.4166666666666667,0.08333333333333331
-0.08333333333333331,-1.0,0.5833333333333333,-0.6666666666666667,0.8333333333333333,-0.9166666666666667
-0.75,-0.8333333333333333,-0.9166666666666667,-0.75,0.9166666666666667,-0.5833333333333333
-0.2916666666666667,-0.4166666666666667,-0.75,-1.0,-0.25,-1.0
